area,year,pop,15_64,in_mig,out_mig,inc,emp,jun_high,sen_high,jun_col,sen_col,lf_tot,lf_m,lf_f,unemp,prim_emp,sec_emp,ter_emp
1222,2010,"10,221","5,121",242,362,"8,210,853",***,"3,607","4,313",681,436,"4,147","2,425","1,722",489,332,872,"2,434"
1223,2010,"29,201","17,899",877,"1,207","33,792,936",***,"8,706","11,956","1,723","1,510","15,957","9,014","6,943",853,"2,958","3,646","8,315"
1224,2010,"93,604","63,261","5,247","5,285","115,489,955",***,"13,186","36,686","9,360","7,257","47,639","29,728","17,911","2,877","1,190","8,028","32,891"
1225,2010,"43,170","26,067","1,865","2,167","44,155,196",***,"7,444","15,186","3,774","3,010","20,854","11,775","9,079","1,216",936,"3,463","14,144"
1226,2010,"19,056","10,977",695,771,"19,216,143",***,"4,706","8,084","1,977","1,257","9,040","5,111","3,929",757,498,"1,985","5,786"
1227,2010,"4,387","2,242",119,212,"3,248,317",***,"1,725","1,702",269,140,"1,741","1,008",733,198,54,418,"1,071"
1228,2010,"23,709","13,128",756,907,"22,019,111",***,"6,034","9,507","2,290","1,609","11,373","6,229","5,144",588,"2,066","1,376","7,278"
1229,2010,"24,259","14,591",940,"1,040","25,065,715",***,"6,253","9,596","2,210","1,660","12,852","7,170","5,682",569,"2,500","1,690","7,982"
1230,2010,"51,526","30,802","2,111","2,223","55,051,161",***,"11,892","22,866","4,523","3,103","23,996","14,140","9,856","2,058",268,"5,643","15,957"
1231,2010,"69,384","45,110","3,001","2,931","79,705,286",***,"10,164","27,430","7,477","5,864","33,228","19,871","13,357","2,513","1,151","6,688","21,548"
1233,2010,"36,278","20,959","1,264","1,408","37,734,701",***,"7,796","13,729","3,410","2,857","17,124","9,421","7,703",993,"1,651","2,963","11,014"
1234,2010,"60,353","38,693","2,400","2,471","69,467,093",***,"6,343","20,488","7,728","7,400","28,658","16,658","12,000","1,980",602,"4,547","20,177"
1235,2010,"59,449","37,624","2,309","2,249","60,066,802",***,"11,014","23,970","6,594","4,931","29,397","17,362","12,035","2,879","1,400","6,315","18,044"
1236,2010,"48,032","30,038","1,854","1,934","45,123,671",***,"9,755","20,645","3,621","2,508","23,981","13,401","10,580","1,918","1,794","5,015","14,904"
1303,2010,"18,766","11,931",663,787,"18,335,173",***,"3,670","7,236","1,842","1,437","9,098","5,354","3,744",686,"1,375","1,562","5,320"
1304,2010,"3,515","2,059",128,150,"3,596,099",***,955,"1,178",277,146,"1,631",902,729,36,778,116,646
1331,2010,"8,748","4,633",291,383,"7,430,032",***,"4,407","2,600",367,302,"4,126","2,347","1,779",412,465,"1,264","1,982"
1332,2010,"5,114","2,796",126,218,"3,998,664",***,"2,339","1,822",201,121,"2,447","1,431","1,016",214,332,885,"1,015"
1333,2010,"5,074","2,936",180,211,"4,394,985",***,"1,613","2,088",271,197,"2,675","1,567","1,108",185,674,705,"1,098"
1334,2010,"5,341","2,830",192,246,"4,477,110",***,"1,879","2,265",314,231,"2,439","1,480",959,248,236,621,"1,332"
1337,2010,"28,463","16,924","1,178","1,044","26,798,448",***,"5,098","11,276","2,373","1,955","13,609","7,484","6,125",954,"1,235","2,499","8,127"
1343,2010,"4,767","2,911",142,188,"3,988,398",***,"1,683","1,832",216,231,"2,286","1,357",929,225,784,448,828
1345,2010,"17,859","10,462",540,594,"15,338,435",***,"6,146","7,218",953,728,"9,365","5,300","4,065",821,"1,961","2,567","4,012"
1346,2010,"18,896","11,519",715,905,"20,040,892",***,"5,780","7,286","1,516","1,062","9,674","5,638","4,036",604,"1,796","1,775","5,391"
1347,2010,"6,386","3,572",521,530,"5,622,802",***,"2,033","2,622",347,300,"2,990","1,678","1,312",190,558,582,"1,658"
1361,2010,"9,004","5,221",510,632,"9,496,950",***,"2,581","3,760",699,645,"4,329","2,606","1,723",411,382,632,"2,904"
1362,2010,"5,428","2,962",153,229,"4,636,399",***,"2,296","1,518",289,172,"2,424","1,322","1,102",183,404,615,"1,217"
1363,2010,"4,409","2,393",135,184,"4,434,242",***,"1,625","1,606",306,263,"2,288","1,300",988,126,737,348,"1,077"
1364,2010,"4,408","2,397",115,185,"3,523,607",***,"1,512","1,723",303,168,"2,051","1,204",847,201,279,565,"1,003"
1367,2010,"3,033","1,723",172,233,"3,492,785",***,"1,420",871,177,154,"1,531","1,028",503,75,191,205,"1,060"
1370,2010,"6,186","3,480",203,230,"5,370,116",***,"1,849","2,530",545,331,"3,190","1,802","1,388",247,880,441,"1,621"
1371,2010,"9,590","4,961",283,345,"7,698,675",***,"3,393","3,782",672,444,"4,591","2,661","1,930",247,"1,120",755,"2,466"
1391,2010,"1,781",926,57,83,"1,389,832",***,872,554,72,62,814,504,310,33,206,156,418
1392,2010,"3,443","1,892",138,179,"3,210,907",***,"1,293","1,226",243,212,"1,601",906,695,89,174,411,926
1393,2010,"3,250","1,699",204,188,"2,872,288",***,"1,081",982,347,255,"1,469",816,653,63,229,206,971
1394,2010,"5,292","2,905",185,192,"4,424,025",***,"1,702","1,994",362,317,"2,695","1,552","1,143",120,756,378,"1,431"
1395,2010,"4,823","3,027",259,267,"4,474,078",***,836,"2,163",480,526,"2,562","1,509","1,053",246,491,226,"1,592"
